state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
FL,1968,6602225,7270,1995,,,,,,,,
FS,1968,0,,,,,,,,,,
GA,1968,5431778,2672,283,,,,,,,,
GM,1968,188000,0,0,,,,,,,,
HI,1968,784085,1255,229,,,,,,,,
IA,1968,3017659,2009,348,,,,,,,,
ID,1968,772817,604,107,,,,,,,,
IL,1968,11775101,5747,928,,,,,,,,
IN,1968,5479821,4577,518,,,,,,,,
KS,1968,2462806,2184,471,,,,,,,,
KY,1968,3690293,1669,291,,,,,,,,
LA,1968,4208540,3760,586,,,,,,,,
MA,1968,5745924,9854,613,,,,,,,,
MD,1968,3940648,5903,827,,,,,,,,
ME,1968,1105654,677,66,,,,,,,,
MI,1968,9187914,11114,1274,,,,,,,,
MN,1968,3789357,3558,358,,,,,,,,
MO,1968,5281261,5330,1238,,,,,,,,
MP,1968,0,,,,,,,,,,
MS,1968,2978343,994,203,,,,,,,,
MT,1968,782557,627,117,,,,,,,,
NB,1968,1561819,1092,191,,,,,,,,
NC,1968,5620757,3171,297,,,,,,,,
ND,1968,719309,448,49,,,,,,,,
NH,1968,746123,494,30,,,,,,,,
NJ,1968,7260760,12888,1175,,,,,,,,
NM,1968,1195975,936,263,,,,,,,,
NV,1968,464142,841,185,,,,,,,,
NY,1968,19430233,44553,5536,,,,,,,,
OH,1968,11379794,10796,1360,,,,,,,,
OK,1968,2558975,1905,249,,,,,,,,
OR,1968,1885432,2441,447,,,,,,,,
OT,1968,0,,,,,,,,,,
PA,1968,12277941,14260,1308,,,,,,,,
PR,1968,2697000,0,0,,,,,,,,
RI,1968,957178,1258,132,,,,,,,,
SC,1968,3026789,1615,183,,,,,,,,
SD,1968,766067,417,58,,,,,,,,
TN,1968,4403366,3160,542,,,,,,,,
TX,1968,12280827,9461,1758,,,,,,,,
UT,1968,1185559,755,184,,,,,,,,
VA,1968,4998758,3659,509,,,,,,,,
VI,1968,0,,,,,,,,,,
VT,1968,482185,158,24,,,,,,,,
WA,1968,3376117,3312,452,,,,,,,,
WI,1968,4355650,5825,567,,,,,,,,
WV,1968,1924462,484,49,,,,,,,,
WY,1968,342574,348,101,,,,,,,,
AK,1969,283000,160,40,,,,,,,,
AL,1969,4282222,1923,349,,,,,,,,
AR,1969,2307809,977,65,,,,,,,,
AS,1969,0,,,,,,,,,,
AZ,1969,1826863,2393,466,,,,,,,,
CA,1969,20548835,24372,6237,,,,,,,,
CO,1969,2333498,2329,392,,,,,,,,
CT,1969,3196198,4099,336,,,,,,,,
CZ,1969,55600,0,0,,,,,,,,
DC,1969,798000,3868,675,,,,,,,,
DE,1969,558778,405,76,,,,,,,,
FL,1969,7044334,7622,2331,,,,,,,,
FS,1969,0,,,,,,,,,,
GA,1969,5632838,3153,327,,,,,,,,
GM,1969,83000,,,,,,,,,,
HI,1969,800387,1242,223,,,,,,,,
IA,1969,3109806,1942,371,,,,,,,,
ID,1969,792073,665,107,,,,,,,,
IL,1969,11895499,18445,4014,,,,,,,,
IN,1969,5710964,4819,547,,,,,,,,
KS,1969,2503939,2321,489,,,,,,,,
KY,1969,3715171,2139,362,,,,,,,,
LA,1969,4354067,2700,513,,,,,,,,
MA,1969,5710156,9914,762,,,,,,,,
MD,1969,4183828,6198,885,,,,,,,,
ME,1969,1076487,712,64,,,,,,,,
MI,1969,9543453,11867,1454,,,,,,,,
MN,1969,3851054,3752,356,,,,,,,,
MO,1969,5153052,5666,1321,,,,,,,,
MP,1969,0,,,,,,,,,,
MS,1969,2962368,1026,188,,,,,,,,
MT,1969,768563,587,136,,,,,,,,
NB,1969,1593853,1152,188,,,,,,,,
NC,1969,5899766,3648,393,,,,,,,,
ND,1969,698366,499,43,,,,,,,,
NH,1969,776037,557,45,,,,,,,,
NJ,1969,7253149,13614,1215,,,,,,,,
NM,1969,1112938,1078,336,,,,,,,,
NV,1969,489559,1097,282,,,,,,,,
NY,1969,19492936,47202,4108,,,,,,,,
OH,1969,11671600,11474,1327,,,,,,,,
OK,1969,3080204,2296,314,,,,,,,,
OR,1969,2107797,2454,495,,,,,,,,
OT,1969,0,,,,,,,,,,
PA,1969,12441007,14586,1387,,,,,,,,
PR,1969,2712000,0,0,,,,,,,,
RI,1969,1010626,1301,131,,,,,,,,
SC,1969,3131385,1624,181,,,,,,,,
SD,1969,746694,375,58,,,,,,,,
TN,1969,4479621,3287,598,,,,,,,,
TX,1969,12451111,10356,1822,,,,,,,,
UT,1969,1149818,806,193,,,,,,,,
VA,1969,4879612,4186,586,,,,,,,,
VI,1969,0,,,,,,,,,,
VT,1969,483316,159,29,,,,,,,,
WA,1969,3836001,3603,560,,,,,,,,
WI,1969,4521513,5960,517,,,,,,,,
WV,1969,2025608,628,46,,,,,,,,
WY,1969,350347,323,102,,,,,,,,
AK,1970,308223,199,42,,,,,,,,
AL,1970,4069782,2457,472,,,,,,,,
AR,1970,2291608,1105,97,,,,,,,,
AS,1970,0,,,,,,,,,,
AZ,1970,1834386,2650,545,,,,,,,,
CA,1970,20930077,32782,9347,,,,,,,,
CO,1970,2377306,3016,607,,,,,,,,
CT,1970,3268254,4449,420,,,,,,,,
CZ,1970,44650,0,0,,,,,,,,
DC,1970,756510,5055,622,,,,,,,,
DE,1970,561333,397,97,,,,,,,,
FL,1970,7245658,8339,2631,,,,,,,,
FS,1970,0,,,,,,,,,,
GA,1970,5604690,3258,358,,,,,,,,
GM,1970,86926,0,0,,,,,,,,
HI,1970,848493,1325,248,,,,,,,,
IA,1970,3059650,2044,366,,,,,,,,
ID,1970,736393,773,112,,,,,,,,
IL,1970,12066035,19905,4295,,,,,,,,
IN,1970,6025631,5062,621,,,,,,,,
KS,1970,2351257,2379,571,,,,,,,,
KY,1970,3242355,2860,522,,,,,,,,
LA,1970,4063136,4185,929,,,,,,,,
MA,1970,5897388,10407,769,,,,,,,,
MD,1970,4378162,3025,541,,,,,,,,
ME,1970,1145067,798,71,,,,,,,,
